cell_type,upregulated,downregulated,total_significant,JAK1_padj,JAK1_log2FC,JAK2_padj,JAK2_log2FC,STAT1_padj,STAT1_log2FC,SOCS1_padj,SOCS1_log2FC,comparison,condition1,condition1_sample_count,condition2,condition2_sample_count
Goblet cells MUC2 TFF1-,3792,2376,6168,4.5580011032226E-06,0.944088762640643,0.000391815106168247,1.78531562426546,2.44448525508549E-05,1.61702450547424,0.0200887364835658,0.909437053961947,02_CO_EPI_InactiveCD_vs_Control,Control,16,InactiveCD,17
Enterocytes CA1 CA2 CA4-,3390,2377,5767,6.12604591086151E-09,1.11909771164236,1.67400975761108E-07,1.96453749114239,0.000279874093615977,1.35000874122133,0.00013220512207298,1.48103338821959,02_CO_EPI_InactiveCD_vs_Control,Control,16,InactiveCD,17
Epithelial Cycling cells,3085,1927,5012,2.03221935157504E-12,1.29143782760481,0.00202915709450217,1.53006759572859,0.000543537781950285,1.4013624752182,0.00417535268052728,1.28627104291381,02_CO_EPI_InactiveCD_vs_Control,Control,16,InactiveCD,17
Stem cells OLFM4 LGR5,2593,1556,4149,8.09916260716603E-07,1.08587581287233,6.69110311244296E-07,2.68286871719493,0.000586754941478808,1.62266828592612,0.000871913128228441,1.62728749970186,02_CO_EPI_InactiveCD_vs_Control,Control,16,InactiveCD,17
Stem cells OLFM4 PCNA,2266,809,3075,5.92450353006502E-07,1.24995999451325,NA,NA,0.000389783129677309,1.6286868622933,0.216686719385614,0.871469832813334,02_CO_EPI_InactiveCD_vs_Control,Control,16,InactiveCD,17
Enterocytes TMIGD1 MEP1A,1720,1095,2815,1.95519192073423E-09,1.17711476862165,2.57735258891256E-06,2.39106804393552,0.000911697152760535,1.67617879906812,0.498355957492169,0.386757306293303,02_CO_EPI_InactiveCD_vs_Control,Control,16,InactiveCD,17
Enterocytes BEST4,2365,248,2613,1.00152644161578E-06,1.51573755234899,0.000235695957686018,2.23925651677318,0.00106263787189409,2.03751134315034,0.000623204613225123,1.7296840336027,02_CO_EPI_InactiveCD_vs_Control,Control,16,InactiveCD,16
Goblet cells MUC2 TFF1,1670,128,1798,5.2598325323264E-05,1.80312229712415,NA,NA,1.88308552076775E-05,3.0476364330399,0.0306740206473701,1.70742530532628,02_CO_EPI_InactiveCD_vs_Control,Control,16,InactiveCD,17
Enteroendocrine cells,1620,74,1694,0.0003323417131337,2.11263128865227,NA,NA,0.023696649436455,1.90420860853409,NA,NA,02_CO_EPI_InactiveCD_vs_Control,Control,16,InactiveCD,16
Stem cells OLFM4,599,287,886,0.0396900869804936,1.10463196012351,NA,NA,0.0016264920363901,1.75456044095129,NA,NA,02_CO_EPI_InactiveCD_vs_Control,Control,16,InactiveCD,17
Goblet cells SPINK4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02_CO_EPI_InactiveCD_vs_Control,Control,15,InactiveCD,13
Paneth cells,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02_CO_EPI_InactiveCD_vs_Control,Control,3,InactiveCD,13
Tuft cells,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02_CO_EPI_InactiveCD_vs_Control,Control,15,InactiveCD,16
